GeneID,Gene,Annotation_New,KEGG_Pathway,KEGG2,KEGG1,D11,L1,L6,L11,D1,D6,2D11,2L1
CwatDRAFT_5181,ahcY,S-adenosyl-L-homocysteine hydrolase,Methionine metabolism,Amino acid metabolism,Metabolism,13.84,13.75,13.94,13.19,12.16,13.03,12.74,13.33
CwatDRAFT_0969,aldh,Aldehyde dehydrogenase,Glutamate metabolism,Amino acid metabolism,Metabolism,13.45,12.06,12.51,13.56,14.46,13.23,13.24,11.75
CwatDRAFT_4397,alr,Alanine racemase,Alanine and aspartate metabolism,Amino acid metabolism,Metabolism,8.97,8.91,10.4,10.39,9.58,8.52,8.39,8.75
CwatDRAFT_6710,argB,Acetylglutamate kinase,Urea cycle and metabolism of amino groups,Amino acid metabolism,Metabolism,10.42,10.36,9.16,10,10.09,9.95,9.74,9.73
CwatDRAFT_5589,argC,N-acetyl-gamma-glutamyl-phosphate reductase,Urea cycle and metabolism of amino groups,Amino acid metabolism,Metabolism,13.48,13.17,13.02,14.51,14.62,13.78,12.91,12.57
CwatDRAFT_5161,argD,Acetylornithine and succinylornithine aminotransferase,Urea cycle and metabolism of amino groups,Amino acid metabolism,Metabolism,9.45,8.17,8.6,11.92,12.28,10.81,8.49,7.47
CwatDRAFT_4406,argF,Ornithine carbamoyltransferase,Urea cycle and metabolism of amino groups,Amino acid metabolism,Metabolism,4.78,4.47,4.69,9.51,11.24,7.8,4.78,4.36
CwatDRAFT_0464,argG,Argininosuccinate synthase,Urea cycle and metabolism of amino groups,Amino acid metabolism,Metabolism,11.94,10.64,10.14,13.23,14.41,13.82,11.27,9.94
CwatDRAFT_1495,argH,Argininosuccinate lyase,Urea cycle and metabolism of amino groups,Amino acid metabolism,Metabolism,11.14,10.84,9.64,12.63,12.69,12.37,10.92,10.63
CwatDRAFT_1272,argJ,Arginine biosynthesis protein ArgJ,Urea cycle and metabolism of amino groups,Amino acid metabolism,Metabolism,12.21,12.05,11.12,11.91,11.52,10.59,11.07,10.88
CwatDRAFT_0373,aroA,3-phosphoshikimate 1-carboxyvinyltransferase,"Phenylalanine, tyrosine and tryptophan biosynthesis",Amino acid metabolism,Metabolism,12.17,11.48,10.38,10.67,11.3,10.69,11.27,10.54
CwatDRAFT_3255,aroA,3-phosphoshikimate 1-carboxyvinyltransferase,"Phenylalanine, tyrosine and tryptophan biosynthesis",Amino acid metabolism,Metabolism,8.46,6.54,6.6,7.72,8.58,7.96,5.97,6.3
CwatDRAFT_2950,aroB,3-dehydroquinate synthase,"Phenylalanine, tyrosine and tryptophan biosynthesis",Amino acid metabolism,Metabolism,8.29,8.25,7.97,7.7,7.84,8.55,8.87,8.52
CwatDRAFT_2085,aroC,Chorismate synthase,"Phenylalanine, tyrosine and tryptophan biosynthesis",Amino acid metabolism,Metabolism,8.64,7.55,7.62,7.91,9.56,9.04,8.33,7.86
CwatDRAFT_3438,aroE,Quinate/Shikimate 5-dehydrogenase,"Phenylalanine, tyrosine and tryptophan biosynthesis",Amino acid metabolism,Metabolism,8.69,8.83,8.43,7.45,7.09,8.11,8.36,8.53
CwatDRAFT_5527,aroQ,"Dehydroquinase, class II","Phenylalanine, tyrosine and tryptophan biosynthesis",Amino acid metabolism,Metabolism,9.97,9.66,10.15,9.67,9.4,10.04,9.74,9.74
CwatDRAFT_3450,asd,"Aspartate-semialdehyde dehydrogenase, USG-1 related","Glycine, serine and threonine metabolism",Amino acid metabolism,Metabolism,14.52,14.11,14.53,14.72,15.22,14.23,13.76,13.4
